,v1,v2,latitude,longitude,degradation_state
16804,17-001518,03-1-08824,-18.581,-102.306,
16805,17-001189,03-1-08825,-18.7,-102.634,
16806,17-003716,03-1-08823,-18.862,-102.26,
16807,17-001988,03-1-08832,-18.929,-102.584,
16808,17-004400,,-18.009,-102.887,#N/A
16809,17-005463,03-4-10252,-18.156,-102.7,
16810,17-000753,03-1-08826,-18.22,-102.807,4
16811,17-003641,03-1-08827,-18.319,-102.584,
16812,17-001518,03-1-08824,-18.581,-102.306,
16813,17-001189,03-1-08825,-18.7,-102.634,
16814,17-003716,03-1-08823,-18.862,-102.26,
16815,17-001988,03-1-08832,-18.929,-102.584,
16816,17-004400,,-18.009,-102.887,#N/A
16817,17-005463,03-4-10252,-18.156,-102.7,
16818,17-000753,03-1-08826,-18.22,-102.807,4
16819,17-003641,03-1-08827,-18.319,-102.584,
16820,17-001518,03-1-08824,-18.581,-102.306,
16821,17-001189,03-1-08825,-18.7,-102.634,
16822,17-003716,03-1-08823,-18.862,-102.26,
16823,17-001988,03-1-08832,-18.929,-102.584,
16824,17-001089,03-1-08836,-18.023,-103.884,
16825,17-002076,03-1-08835,-18.027,-103.852,
16826,17-002830,03-1-08828,-18.132,-103.011,
16827,17-005506,03-1-08829,-18.34,-103.293,
16828,17-001752,03-1-08834,-18.674,-103.912,
16829,17-004575,03-1-08830,-18.915,-103.233,
16830,17-001089,03-1-08836,-18.023,-103.884,
16831,17-002076,03-1-08835,-18.027,-103.852,
16832,17-002830,03-1-08828,-18.132,-103.011,
16833,17-005506,03-1-08829,-18.34,-103.293,
16834,17-001752,03-1-08834,-18.674,-103.912,
16835,17-004575,03-1-08830,-18.915,-103.233,
16836,17-001089,03-1-08836,-18.023,-103.884,
16837,17-002076,03-1-08835,-18.027,-103.852,
16838,17-002830,03-1-08828,-18.132,-103.011,
16839,17-005506,03-1-08829,-18.34,-103.293,
16840,17-001752,03-1-08834,-18.674,-103.912,
16841,17-004575,03-1-08830,-18.915,-103.233,
16842,17-001089,03-1-08836,-18.023,-103.884,
16843,17-002076,03-1-08835,-18.027,-103.852,
16844,17-002830,03-1-08828,-18.132,-103.011,
16845,17-005506,03-1-08829,-18.34,-103.293,
16846,17-001752,03-1-08834,-18.674,-103.912,
16847,17-004575,03-1-08830,-18.915,-103.233,
16848,17-002115,03-1-08845,-18.033,-105.375,
16849,17-002342,03-1-08844,-18.37,-105.334,
16850,17-003522,03-4-10414,-18.474,-105.853,
16851,17-002792,03-1-08853,-18.529,-105.77,
16852,17-004884,03-4-10413,-18.548,-105.808,
16853,17-000492,,-18.654,-105.87,#N/A
16854,17-001945,03-1-08841,-18.684,-105.164,
16855,17-004139,03-4-10412,-18.732,-105.78,
16856,17-002115,03-1-08845,-18.033,-105.375,
16857,17-002342,03-1-08844,-18.37,-105.334,
16858,17-003522,03-4-10414,-18.474,-105.853,
16859,17-002792,03-1-08853,-18.529,-105.77,
16860,17-004884,03-4-10413,-18.548,-105.808,
16861,17-000492,,-18.654,-105.87,#N/A
16862,17-001945,03-1-08841,-18.684,-105.164,
16863,17-004139,03-4-10412,-18.732,-105.78,
16864,17-002115,03-1-08845,-18.033,-105.375,
16865,17-002342,03-1-08844,-18.37,-105.334,
16866,17-003522,03-4-10414,-18.474,-105.853,
16867,17-002792,03-1-08853,-18.529,-105.77,
16868,17-004884,03-4-10413,-18.548,-105.808,
16869,17-000492,,-18.654,-105.87,#N/A
16870,17-001945,03-1-08841,-18.684,-105.164,
16871,17-004139,03-4-10412,-18.732,-105.78,
16872,17-002115,03-1-08845,-18.033,-105.375,
16873,17-002342,03-1-08844,-18.37,-105.334,
16874,17-003522,03-4-10414,-18.474,-105.853,
